视频地址,弹幕地址,弹幕时间,弹幕内容
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-11-06 12:15,疫苗制作装置制造出来不玩脑子想法了啊
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-11-06 12:57,太简单了啊
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-11-06 12:41,新冠肺炎药剂科技术语接龙群了啊
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-11-06 12:28,铁饼运动员入场票没有了啊
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-11-06 12:08,喝药剂科技术语音聊天啊
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-11-06 12:36,我是来控制世界思考问题了啊
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-11-06 12:08,更多明细设备还没有用啊
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-11-06 12:42,我去找你这些事情看法发展的打败了啊
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-11-02 02:24,鸟巢是挺不错的
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-30 17:39,好
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-30 16:12,好耶
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-30 16:56,自娱自乐
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-30 16:02,好耶
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-29 19:43,有“外国人与狗不得入内”来看我们冬奥会那感觉了 哈哈！
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-29 16:14,好
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-29 13:11,好耶
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-28 22:13,牛批，漂亮
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-28 22:50,漂亮
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-28 20:31,挺好
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-28 19:30,干得漂亮
